strategy,top_k,mean,sum,median,min,max,negative_windows
turnover_z_20d_low,40,-0.005344730938986815,-0.04810257845088134,-0.005563541041659362,-0.025181206057078437,0.018423189294711408,6
volume_z_20d_low,50,-0.005489548139655322,-0.049405933256897905,-0.003859910576977918,-0.026455777968993982,0.017373926197359932,5
volume_z_20d_low,40,-0.005560225923058443,-0.05004203330752599,-0.005393080898218203,-0.02535634436916971,0.018045007294478176,6
drawdown_20d_high,70,-0.0056025500066250985,-0.05042295005962589,0.002556859952378747,-0.06291850466983834,0.02849078325103243,3
ret_5d_high,40,-0.005619896991806428,-0.05057907292625785,-0.0158805328478888,-0.04785724572518332,0.0392924714582308,5
turnover_z_20d_low,30,-0.005681895179034032,-0.051137056611306284,-0.01006829112953029,-0.0250369581368819,0.015344991330933679,6
ret_5d_high,50,-0.005742109676581891,-0.051678987089237016,-0.012402229659712796,-0.04407154218625274,0.037368596251862826,5
volume_z_20d_low,30,-0.005954931281452047,-0.05359438153306842,-0.009893222288442756,-0.025297353548741824,0.015178065869009168,6
amount_z_20d_high,70,-0.006037847348882248,-0.05434062613994023,-0.0014216433132967846,-0.04913443039262978,0.02503980620107047,5
ret_5d_high,70,-0.006057264759826835,-0.05451538283844151,-0.008852974795623712,-0.043729179630048284,0.03200230295308991,6
overnight_ret_low,50,-0.006078528769668053,-0.054706758927012475,-0.005930082832538083,-0.04216681943063859,0.0145511348277017,5
close_over_ma60_high,150,-0.006081668447529412,-0.05473501602776471,-0.006477047673356766,-0.027188437074412132,0.018182299092007755,6
ret_1d_high,70,-0.0062996314509571535,-0.05669668305861438,-0.0025575944773435517,-0.04640195483833716,0.01772899494720452,5
reversal_3d_low,150,-0.0063141346190709186,-0.05682721157163827,-0.004025406069469542,-0.0370244578000685,0.01652396350725345,5
ret_3d_high,150,-0.006315250912802643,-0.056837258215223785,-0.004025406069469542,-0.03703005018907991,0.016519509252679337,5
close_over_ma60_high,50,-0.006358927033825606,-0.057230343304430456,-0.01258383212108962,-0.04730382779571991,0.026104960718191426,5
ret_1d_high,30,-0.006412174445992759,-0.05770957001393483,-0.0007470359241477063,-0.051167688979520516,0.02143641023227648,5
drawdown_20d_high,30,-0.006493813798987356,-0.0584443241908862,0.0032815992389428053,-0.06757932456448984,0.03446832166617778,4
overnight_ret_low,150,-0.006650253963103311,-0.0598522856679298,-0.0017187999774264141,-0.0384019155579287,0.006699725885360651,6
drawdown_20d_high,40,-0.006684783106560694,-0.06016304795904624,0.004376266389628533,-0.06780449818313974,0.0319953955480748,4
drawdown_20d_high,50,-0.006696849200301408,-0.06027164280271267,0.0032215439811428027,-0.06691606691306992,0.030781838286248996,4
close_over_ma60_high,40,-0.0067675251995801865,-0.06090772679622168,-0.010307772610302267,-0.050635824168446676,0.02337841925363768,5
high_low_range_high,70,-0.006804101250431482,-0.061236911253883336,-0.004505006571108399,-0.029351404896543545,0.018016643017272665,7
amount_z_20d_high,30,-0.006817895892397077,-0.061361063031573695,0.0010169622461563936,-0.05557537534827092,0.03170766414175044,4
ret_1d_high,50,-0.006823962488051271,-0.061415662392461434,-0.0048278412384059124,-0.050038406427337576,0.02067131622480589,5
intraday_ret_high,150,-0.006854565854198398,-0.06169109268778558,-0.0015618570935208211,-0.035514038309224644,0.009862688974262818,5
ret_10d_high,30,-0.0069033301792524,-0.062129971613271606,-0.004091228598423771,-0.055926434578469714,0.04874548981140532,5
close_over_ma60_high,70,-0.006945809311357873,-0.06251228380222086,-0.010920337040240168,-0.040130046379247025,0.024894430102919307,5
overnight_ret_low,70,-0.006946182508221895,-0.06251564257399705,-0.008537430286517544,-0.04018345545396777,0.012830338453935093,5
overnight_ret_low,100,-0.007065737911644134,-0.06359164120479721,-0.004293643199086934,-0.038493189894808016,0.01067231488376876,6
ret_1d_high,40,-0.007068042566886835,-0.06361238310198152,-0.004184961060224396,-0.051870008203573556,0.02335705107107977,5
amount_z_20d_high,50,-0.0071649980927846685,-0.06448498283506202,-0.005232271830650101,-0.05400961131156322,0.027488373201738164,5
close_over_ma60_high,100,-0.0071766136087774495,-0.06458952247899705,-0.00948495703408811,-0.033179159681798416,0.021875970859131573,5
close_over_ma60_high,30,-0.007364731616100949,-0.06628258454490854,-0.007154999577826789,-0.05191094205565887,0.020422061108457304,6
amount_z_20d_high,40,-0.007439039976584643,-0.06695135978926178,-0.0024915369981205297,-0.057514729455135666,0.02818315347483115,5
ret_60d_high,30,-0.007467897464784922,-0.0672110771830643,-0.004921337515789458,-0.04368146696056411,0.027151732636011297,6
