apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_only,2.5,0.04,0.3,0.03095809671058965,0.019916776985358958,0.04514788015494137,0,"0.02831,0.02329,0.02520,0.04515,0.03160,0.02102,0.01992,0.03904,0.04510"
tree_only,0.6,0.06,0.1,0.0309559213421583,0.017288824172815062,0.04514788015494137,0,"0.02831,0.02329,0.02609,0.04515,0.03371,0.01729,0.02120,0.04041,0.04315"
tree_only,0.6,0.08,0.1,0.0309559213421583,0.017288824172815062,0.04514788015494137,0,"0.02831,0.02329,0.02609,0.04515,0.03371,0.01729,0.02120,0.04041,0.04315"
tree_only,0.6,0.1,0.1,0.0309559213421583,0.017288824172815062,0.04514788015494137,0,"0.02831,0.02329,0.02609,0.04515,0.03371,0.01729,0.02120,0.04041,0.04315"
tree_only,0.6,0.05,0.1,0.030955470780366128,0.01731008929363878,0.04514788015494137,0,"0.02831,0.02329,0.02609,0.04515,0.03370,0.01731,0.02120,0.04040,0.04315"
tree_only,0.8,0.06,0.3,0.03094723148290096,0.017843245614580464,0.04514788015494137,0,"0.02831,0.02329,0.02612,0.04515,0.03373,0.01784,0.02088,0.04074,0.04245"
tree_only,0.8,0.08,0.3,0.03094723148290096,0.017843245614580464,0.04514788015494137,0,"0.02831,0.02329,0.02612,0.04515,0.03373,0.01784,0.02088,0.04074,0.04245"
tree_only,0.8,0.1,0.3,0.03094723148290096,0.017843245614580464,0.04514788015494137,0,"0.02831,0.02329,0.02612,0.04515,0.03373,0.01784,0.02088,0.04074,0.04245"
tree_regularized,0.8,0.04,0.2,0.030944791469674833,0.019965955731758037,0.04632997543592006,0,"0.02636,0.02456,0.02521,0.04515,0.03167,0.01997,0.02039,0.03887,0.04633"
tree_only,0.8,0.05,0.3,0.03094463567744606,0.017965879751851377,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03366,0.01797,0.02086,0.04070,0.04245"
tree_regularized,3.0,0.04,0.1,0.030944530585022778,0.019017542986978636,0.047218261831478966,0,"0.02657,0.02455,0.02635,0.04515,0.03089,0.01902,0.02155,0.03720,0.04722"
tree_regularized,0.6,0.04,0.2,0.030936717038480926,0.019874309419909884,0.04587123001703618,0,"0.02632,0.02438,0.02544,0.04515,0.03196,0.02044,0.01987,0.03899,0.04587"
tree_regularized,1.0,0.04,0.3,0.030924811415522873,0.020131261632285506,0.04595358812184425,0,"0.02676,0.02449,0.02507,0.04515,0.03160,0.02022,0.02013,0.03894,0.04595"
tree_regularized,0.6,0.05,0.2,0.030916055896563415,0.01860888028921137,0.04514788015494137,0,"0.02632,0.02438,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_regularized,0.6,0.06,0.2,0.030916055896563415,0.01860888028921137,0.04514788015494137,0,"0.02632,0.02438,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_regularized,0.6,0.08,0.2,0.030916055896563415,0.01860888028921137,0.04514788015494137,0,"0.02632,0.02438,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_regularized,0.6,0.1,0.2,0.030916055896563415,0.01860888028921137,0.04514788015494137,0,"0.02632,0.02438,0.02610,0.04515,0.03334,0.01861,0.02067,0.04041,0.04326"
tree_regularized,3.0,0.1,0.0,0.030914313341891857,0.00103171204482444,0.047738405293672515,0,"0.03058,0.02503,0.03027,0.04515,0.04447,0.00103,0.02789,0.04774,0.02608"
tree_only,0.6,0.05,0.0,0.03090947199615362,0.01625601355682725,0.04514788015494137,0,"0.02831,0.02329,0.02608,0.04515,0.03387,0.01626,0.02181,0.04027,0.04314"
tree_regularized,2.5,0.08,0.3,0.030904793534562228,0.010048556322192093,0.04514788015494137,0,"0.02907,0.02453,0.02789,0.04515,0.03977,0.01005,0.02330,0.04512,0.03326"
tree_regularized,0.8,0.04,0.3,0.03090039403081298,0.01986286269530506,0.04579669194579164,0,"0.02661,0.02439,0.02520,0.04515,0.03178,0.02040,0.01986,0.03892,0.04580"
tree_regularized,2.5,0.1,0.3,0.030899116163295652,0.00899480572843954,0.045499688741085835,0,"0.02907,0.02453,0.02793,0.04515,0.04044,0.00899,0.02324,0.04550,0.03324"
tree_regularized,0.6,0.04,0.1,0.03089723549860624,0.01990608269383931,0.04639540088095935,0,"0.02607,0.02452,0.02525,0.04515,0.03177,0.01991,0.02026,0.03875,0.04640"
tree_only,0.6,0.06,0.0,0.03089570961254619,0.01596876805641881,0.04514788015494137,0,"0.02831,0.02329,0.02608,0.04515,0.03409,0.01597,0.02174,0.04040,0.04303"
