mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.8,0.8,0.0,0.04,0.2,0.07030794882552026,0.041279438261512036,0.029028510564008222,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,3.0,0.1,0.04,0.2,0.07030497329072777,0.041279438261512036,0.029025535029215732,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,1.0,0.2,0.04,0.2,0.07030187308561711,0.041279438261512036,0.029022434824105076,30,0.04000000000000001,0.40000000000000013
rank,30,0.8,0.8,0.1,0.04,0.2,0.07030081955786538,0.041279438261512036,0.029021381296353344,30,0.039999999999999994,0.3996668217588333
rank,30,0.0,0.8,0.2,0.04,0.2,0.0702971723550593,0.041279438261512036,0.02901773409354727,30,0.04,0.39999999999999997
rank,30,0.35,1.2,0.05,0.04,0.2,0.07028738422320671,0.041279438261512036,0.029007945961694676,30,0.04,0.39999999999999997
rank,30,0.5,0.8,0.2,0.04,0.2,0.07028440410651847,0.041279438261512036,0.029004965845006433,30,0.04,0.39999999999999997
rank,30,0.05,1.6,0.2,0.04,0.2,0.07028374678675084,0.041279438261512036,0.029004308525238803,30,0.03999999999999998,0.3999999999999998
rank,30,0.0,2.0,0.2,0.04,0.2,0.0702836927983083,0.041279438261512036,0.029004254536796267,30,0.04000000000000002,0.40000000000000024
rank,30,0.35,2.0,0.0,0.04,0.2,0.07027837935449245,0.041279438261512036,0.028998941092980415,30,0.039999999999999994,0.3999999999999999
rank,30,0.35,1.0,0.05,0.04,0.2,0.07027791990501968,0.041279438261512036,0.028998481643507643,30,0.04,0.39999999999999997
rank,30,0.2,2.0,0.1,0.04,0.2,0.07027703714443649,0.041279438261512036,0.028997598882924455,30,0.04,0.39999999999999997
rank,30,0.2,3.0,0.05,0.04,0.2,0.07026722254776359,0.041279438261512036,0.028987784286251553,30,0.04,0.39999999999999997
rank,30,0.1,1.2,0.2,0.04,0.2,0.07026054776866185,0.041279438261512036,0.028981109507149813,30,0.04,0.39999999999999997
rank,30,0.05,0.8,0.2,0.04,0.2,0.07024645967243666,0.041279438261512036,0.028967021410924623,30,0.039999999999999994,0.3999999999999999
rank,30,0.8,1.0,0.2,0.04,0.2,0.07024312126665146,0.041279438261512036,0.02896368300513942,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,0.8,0.2,0.04,0.2,0.07023671574481322,0.041279438261512036,0.02895727748330118,30,0.04,0.39999999999999997
rank,30,0.5,0.8,0.1,0.04,0.2,0.07023591934382081,0.041279438261512036,0.028956481082308777,30,0.04,0.39999999999999997
rank,30,0.1,1.0,0.2,0.04,0.2,0.07023323301421808,0.041279438261512036,0.02895379475270604,30,0.040000000000000015,0.4000000000000002
