top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,median,min,max,sum,negative_windows,avg_n,utility
35,0.1,1.2,0.1,0.045,0.014360879488721235,0.009287163693739105,0.003345400899560272,0.03484953367257236,0.12924791539849112,0,86.44444444444444,0.016033579938501373
40,0.0,1.6,0.05,0.04,0.013973114507509023,0.009287163693739105,0.0041195672604819045,0.03666019526142651,0.1257580305675812,0,90.88888888888889,0.016032898137749975
30,0.25,1.2,0.1,0.04,0.015048902803711342,0.009287163693739105,0.001966041642692151,0.0436867393251357,0.13544012523340207,0,82.0,0.01603192362505742
35,0.0,1.4,0.0,0.04,0.014327545252708882,0.009287163693739105,0.0034082959088479053,0.0378420053277561,0.12894790727437994,0,86.44444444444444,0.016031693207132835
35,0.1,1.1,0.1,0.05,0.014251332154700517,0.009287163693739105,0.0035560205242591014,0.03256545621314236,0.12826198939230465,0,86.44444444444444,0.016029342416830065
35,0.25,0.9,0.1,0.045,0.013992045056543825,0.009287163693739105,0.004065873591823685,0.03418327237950852,0.12592840550889442,0,86.44444444444444,0.01602498185245567
30,0.4,0.9,0.2,0.04,0.014852281711529084,0.009287163693739105,0.0023436214039261466,0.043782451069288644,0.13367053540376175,0,82.0,0.016024092413492157
30,0.25,1.6,0.2,0.04,0.015034654189106274,0.009287163693739105,0.0019764010153927314,0.04331576089778871,0.13531188770195646,0,82.0,0.01602285469680264
30,0.25,1.2,0.05,0.04,0.015055727444718872,0.009287163693739105,0.0019329711734060728,0.04387643918648611,0.13550154700246986,0,82.0,0.016022213031421907
30,0.25,1.4,0.0,0.04,0.015083524645130809,0.009287163693739105,0.0018697595041841791,0.04393135900794158,0.13575172180617728,0,82.0,0.0160184043972229
40,0.0,1.2,0.0,0.04,0.013960878839979188,0.009287163693739105,0.004114027356928226,0.03634626189402912,0.1256479095598127,0,90.88888888888889,0.0160178925184433
35,0.25,0.9,0.2,0.05,0.014032932403957995,0.009287163693739105,0.003961981693179711,0.03282310071298644,0.12629639163562195,0,86.44444444444444,0.016013923250547853
35,0.25,1.6,0.2,0.04,0.014050334123756756,0.009287163693739105,0.0039004074389900056,0.036754803806837655,0.1264530071138108,0,86.44444444444444,0.01600053784325176
30,0.25,1.6,0.0,0.04,0.015077085741018618,0.009287163693739105,0.0018402880943878402,0.043763486758689504,0.13569377166916757,0,82.0,0.01599722978821254
35,0.0,1.6,0.05,0.04,0.014303939059287674,0.009287163693739105,0.003385364388823836,0.03803021453591032,0.12873545153358906,0,86.44444444444444,0.01599662125369959
40,0.1,1.2,0.0,0.04,0.013937545808090403,0.009287163693739105,0.004113487380200856,0.03638383443485482,0.12543791227281362,0,90.88888888888889,0.01599428949819083
30,0.25,1.4,0.05,0.04,0.01504110923722082,0.009287163693739105,0.0019009409991528753,0.04378895721221758,0.13536998313498738,0,82.0,0.015991579736797257
30,0.1,0.9,0.2,0.045,0.014997397616546147,0.009287163693739105,0.001983509054622079,0.03972672689551418,0.13497657854891532,0,82.0,0.015989152143857186
35,0.25,0.9,0.05,0.045,0.014041604182762513,0.009287163693739105,0.0038821875973998193,0.03458982051386132,0.12637443764486261,0,86.44444444444444,0.015982697981462422
