set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
core_diverse,weight,30,2.0,0.1,0.1,0.02395029406868197,0.0016166151638412757,0.04096398413765956,0,"0.02290,0.02107,0.02910,0.01707,0.03336,0.00162,0.02102,0.04096,0.02845"
core_diverse,rank,30,1.3,0.1,0.0,0.023943042906486103,0.0018726230209217196,0.03581529882508082,0,"0.02420,0.02622,0.03186,0.00187,0.03085,0.00600,0.02321,0.03582,0.03547"
core_diverse,presence,30,2.0,0.06,0.2,0.023942082564617884,0.0027931159461182034,0.04668403000840997,0,"0.02111,0.01951,0.02157,0.00279,0.03200,0.02010,0.01381,0.03790,0.04668"
core_diverse,weight,30,1.6,0.1,0.0,0.02393056421535579,0.003226264697237552,0.03912948476815492,0,"0.02273,0.02078,0.02851,0.01798,0.03169,0.00323,0.02104,0.03913,0.03029"
core_diverse,rank,30,1.3,0.08,0.0,0.023921448508428686,0.0018726230209217196,0.03581529882508082,0,"0.02400,0.02622,0.03186,0.00187,0.03085,0.00600,0.02321,0.03582,0.03547"
core_diverse,rank,35,2.0,0.08,0.0,0.023919189517534495,0.0011633624785923613,0.039345568692571414,0,"0.02237,0.02464,0.03378,0.00116,0.03447,0.00260,0.02141,0.03935,0.03550"
hybrid_plus_signal,rank,100,2.0,0.08,0.0,0.02390885113200102,0.0022160821446765983,0.04307221422040729,0,"0.01515,0.02544,0.03748,0.00326,0.03158,0.00222,0.02323,0.04307,0.03375"
core_diverse,presence,30,2.0,0.06,0.1,0.02389254676648488,0.0026674323593115015,0.045659825615778055,0,"0.02100,0.01941,0.02187,0.00267,0.03310,0.01963,0.01376,0.03793,0.04566"
core_diverse,rank,30,2.0,0.05,0.1,0.023892263905133944,0.003080449047478319,0.03533820667178077,0,"0.02302,0.02655,0.03213,0.00308,0.02784,0.00941,0.02382,0.03384,0.03534"
hybrid_plus_signal,rank,80,2.0,0.08,0.0,0.02388575181943982,0.002218481800649791,0.04307221422040729,0,"0.01521,0.02510,0.03748,0.00333,0.03158,0.00222,0.02323,0.04307,0.03375"
core_diverse,rank,35,1.6,0.1,0.0,0.023883647536384986,0.001890739454321333,0.03788858182253499,0,"0.02478,0.02401,0.03314,0.00189,0.03253,0.00381,0.02072,0.03789,0.03617"
core_diverse,rank,30,1.6,0.05,0.0,0.02386326077258953,0.003060702086913919,0.03533659735952889,0,"0.02301,0.02646,0.03178,0.00306,0.02827,0.00943,0.02405,0.03337,0.03534"
no_bad,rank,30,2.0,0.1,0.0,0.023857520540065385,0.002985703202026943,0.0496253748143975,0,"0.01826,0.01535,0.02923,0.00299,0.03734,0.00427,0.02163,0.04963,0.03602"
core_diverse,weight,30,2.0,0.08,0.0,0.023855082230571818,0.002358431112471193,0.039129226800839884,0,"0.02006,0.02124,0.03051,0.01638,0.03435,0.00236,0.02172,0.03913,0.02896"
hybrid_plus_signal,rank,60,2.0,0.08,0.0,0.023845316622414212,0.0021228954449356574,0.04307221422040729,0,"0.01517,0.02473,0.03748,0.00340,0.03163,0.00212,0.02324,0.04307,0.03376"
core_diverse,rank,30,2.0,0.06,0.1,0.02384149665134333,0.0022948332808994526,0.035255066152545894,0,"0.02291,0.02660,0.03134,0.00229,0.03007,0.00674,0.02428,0.03509,0.03526"
hybrid_plus_signal,rank,50,2.0,0.08,0.0,0.023841423324939413,0.0020400138569362097,0.043100407750134365,0,"0.01515,0.02507,0.03750,0.00280,0.03181,0.00204,0.02335,0.04310,0.03375"
core_diverse,weight,40,2.0,0.05,0.0,0.023839620238296715,0.0076921894325139295,0.03585933055741473,0,"0.02151,0.02418,0.02764,0.01668,0.02473,0.00769,0.02071,0.03586,0.03556"
