strategy,mean,median,min,max,neg
reweight_vol_20d_low_g0.2_p0.8,0.023119154401464774,0.019640104495553812,0.0039651306287592294,0.04449996192629403,0
reweight_close_over_ma60_low_g0.1_p0.8,0.023117684534328484,0.019621384680548,0.004137169152500307,0.044454522110668096,0
reweight_ret_60d_low_g0.2_p0.8,0.023113997728960174,0.019645166411123342,0.003730367452503658,0.04452634351710745,0
reweight_close_over_ma20_low_g0.15_p1.0,0.023113663717385626,0.019680054803157432,0.00409557651654123,0.04443448378277039,0
reweight_close_over_ma60_low_g0.1_p2.0,0.02311239681983503,0.019595995385405483,0.0041581047216163874,0.04446444817523501,0
reweight_ret_60d_low_g0.15_p1.5,0.023111868062129295,0.019702969907344055,0.0037665856637577183,0.04452150242474688,0
reweight_amplitude_ma_20d_low_g0.2_p0.8,0.02310953960676448,0.01961799326849651,0.0037604062702595725,0.044330672475215355,0
reweight_ret_5d_low_g0.1_p0.8,0.023109036431901455,0.019633007869468963,0.003914033567780979,0.044619777130054064,0
reweight_drawdown_20d_low_g0.1_p2.0,0.023108429835316236,0.019716565100871962,0.004167780390775547,0.04445918492537554,0
reweight_ret_60d_low_g0.15_p2.0,0.023108376541911065,0.0196948392087591,0.003778466849158793,0.04450044953933108,0
reweight_amplitude_ma_20d_low_g0.2_p1.0,0.023107531572603354,0.01961969068930723,0.003750514740972058,0.044368420602398345,0
reweight_ret_5d_low_g0.1_p1.0,0.023106999658032944,0.019682920794519276,0.003916855850113643,0.04458114011286979,0
reweight_ret_60d_low_g0.15_p1.0,0.02310606151148995,0.019683341993769234,0.00376246040280466,0.04451935038504272,0
reweight_close_over_ma20_low_g0.15_p0.8,0.02310569945331453,0.019603824142868723,0.004063902338749703,0.04443432031954081,0
reweight_vol_20d_low_g0.15_p1.5,0.02310434925888389,0.019668557152247607,0.00391355752908424,0.04447347834789292,0
reweight_vol_20d_low_g0.15_p1.0,0.023103675257717313,0.019657072838489685,0.003940510218699705,0.044488481153537804,0
reweight_ret_5d_low_g0.1_p1.5,0.02310276572781445,0.01972416876024724,0.003925216436798197,0.04452405755403413,0
reweight_ret_5d_low_g0.1_p2.0,0.023102067658253664,0.019735377966568192,0.003934768388993329,0.04449634019802792,0
reweight_ret_60d_low_g0.15_p0.8,0.023100922683193102,0.019652479699295282,0.003772133119097784,0.04451110434456482,0
