feature,direction,top_k,power,mean,min,max,neg,vals
ret_5d,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
ret_5d_rank,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
excess_ret_5d,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
excess_ret_5d_rank,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
ret_5d,low,30,0.7,0.009153206643026107,-0.03388445772824271,0.03432917487044124,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
ret_5d_rank,low,30,0.7,0.009153206643026107,-0.03388445772824271,0.03432917487044124,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
excess_ret_5d,low,30,0.7,0.009153206643026107,-0.03388445772824271,0.03432917487044124,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
excess_ret_5d_rank,low,30,0.7,0.009153206643026107,-0.03388445772824271,0.03432917487044124,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
close_over_ma20,low,60,1.5,0.009136734831075249,-0.017772407223608053,0.027356822326311134,4,"0.02551,0.01527,0.02220,0.01405,0.01614,-0.01777,0.02736,-0.00333,0.01344,0.00315,-0.00431,-0.00206"
ret_15d,low,50,2.0,0.009031493991243202,-0.029360520238199673,0.03497047444415674,3,"0.02020,0.01019,0.01017,0.02449,0.01494,0.00080,0.02818,-0.00342,0.03497,0.00360,-0.00640,-0.02936"
ret_15d_rank,low,50,2.0,0.009031493991243202,-0.029360520238199673,0.03497047444415674,3,"0.02020,0.01019,0.01017,0.02449,0.01494,0.00080,0.02818,-0.00342,0.03497,0.00360,-0.00640,-0.02936"
drawdown_20d,low,40,1.5,0.00902945355539287,-0.01829534640530972,0.05153638902687159,4,"0.01798,-0.01557,0.05154,0.01761,-0.00266,-0.01830,0.02722,0.00107,0.01649,0.01458,0.00110,-0.00271"
drawdown_20d_rank,low,40,1.5,0.00902945355539287,-0.01829534640530972,0.05153638902687159,4,"0.01798,-0.01557,0.05154,0.01761,-0.00266,-0.01830,0.02722,0.00107,0.01649,0.01458,0.00110,-0.00271"
close_over_ma20,low,50,0.7,0.009019547011307557,-0.01794769148279128,0.026610505457951544,4,"0.02449,0.01552,0.01890,0.01557,0.01662,-0.01795,0.02661,-0.00235,0.01356,0.00279,-0.00333,-0.00218"
ret_15d,low,40,1.0,0.009019396017295983,-0.029336670268687807,0.035440690549627035,3,"0.02083,0.01112,0.00872,0.02333,0.01627,0.00024,0.02810,-0.00411,0.03544,0.00338,-0.00575,-0.02934"
ret_15d_rank,low,40,1.0,0.009019396017295983,-0.029336670268687807,0.035440690549627035,3,"0.02083,0.01112,0.00872,0.02333,0.01627,0.00024,0.02810,-0.00411,0.03544,0.00338,-0.00575,-0.02934"
ret_5d,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
ret_5d_rank,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
excess_ret_5d,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
excess_ret_5d_rank,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
ret_5d,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
ret_5d_rank,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
excess_ret_5d,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
excess_ret_5d_rank,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
close_over_ma20,low,80,2.0,0.008789899167012054,-0.016354608612625998,0.025938952824041964,4,"0.02594,0.01425,0.01910,0.01455,0.01613,-0.01635,0.02556,-0.00305,0.01359,0.00203,-0.00400,-0.00227"
close_over_ma20,low,60,1.0,0.008781311291221146,-0.01645478496984476,0.025410143054686793,4,"0.02500,0.01503,0.01754,0.01521,0.01663,-0.01645,0.02541,-0.00259,0.01391,0.00194,-0.00390,-0.00234"
