as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260421,20260422,20260428,35,0.85,1.0,35,0.01781302671667048
20260421,20260422,20260428,35,1.1,0.7,35,0.013438985572862123
20260421,20260422,20260428,35,1.1,0.9,35,0.013438985572862123
20260421,20260422,20260428,35,1.1,1.0,35,0.013438985572862147
20260421,20260422,20260428,40,0.35,0.7,40,0.025400513209681994
20260421,20260422,20260428,40,0.35,0.9,40,0.02540051320968202
20260421,20260422,20260428,40,0.35,1.0,40,0.025400513209682007
20260421,20260422,20260428,40,0.45,0.7,40,0.02406417888356166
20260421,20260422,20260428,40,0.45,0.9,40,0.02406417888356169
20260421,20260422,20260428,40,0.45,1.0,40,0.02406417888356168
20260421,20260422,20260428,40,0.65,0.7,40,0.02016729881893735
20260421,20260422,20260428,40,0.65,0.9,40,0.02016729881893734
20260421,20260422,20260428,40,0.65,1.0,40,0.020167298818937335
20260421,20260422,20260428,40,0.85,0.7,40,0.01564747791902204
20260421,20260422,20260428,40,0.85,0.9,40,0.01564747791902205
20260421,20260422,20260428,40,0.85,1.0,40,0.015647477919022042
20260421,20260422,20260428,40,1.1,0.7,40,0.011714342217019547
20260421,20260422,20260428,40,1.1,0.9,40,0.011714342217019552
20260421,20260422,20260428,40,1.1,1.0,40,0.011714342217019544
20260421,20260422,20260428,50,0.35,0.7,50,0.024209978879781973
20260421,20260422,20260428,50,0.35,0.9,50,0.02420997887978198
20260421,20260422,20260428,50,0.35,1.0,50,0.024209978879781973
20260421,20260422,20260428,50,0.45,0.7,50,0.021800198088329732
20260421,20260422,20260428,50,0.45,0.9,50,0.02180019808832974
20260421,20260422,20260428,50,0.45,1.0,50,0.02180019808832974
20260421,20260422,20260428,50,0.65,0.7,50,0.0165479906993427
20260421,20260422,20260428,50,0.65,0.9,50,0.016547990699342735
20260421,20260422,20260428,50,0.65,1.0,50,0.016547990699342735
20260421,20260422,20260428,50,0.85,0.7,50,0.012208579461552134
20260421,20260422,20260428,50,0.85,0.9,50,0.012208579461552158
20260421,20260422,20260428,50,0.85,1.0,50,0.012208579461552155
20260421,20260422,20260428,50,1.1,0.7,50,0.009055060790376681
20260421,20260422,20260428,50,1.1,0.9,50,0.009055060790376695
20260421,20260422,20260428,50,1.1,1.0,50,0.009055060790376695
20260421,20260422,20260428,60,0.35,0.7,60,0.023146130099064265
20260421,20260422,20260428,60,0.35,0.9,60,0.023146130099064258
20260421,20260422,20260428,60,0.35,1.0,60,0.02314613009906427
20260421,20260422,20260428,60,0.45,0.7,60,0.020107727945524952
20260421,20260422,20260428,60,0.45,0.9,60,0.020107727945524935
20260421,20260422,20260428,60,0.45,1.0,60,0.02010772794552495
20260421,20260422,20260428,60,0.65,0.7,60,0.013571260781884423
20260421,20260422,20260428,60,0.65,0.9,60,0.01357126078188443
20260421,20260422,20260428,60,0.65,1.0,60,0.013571260781884427
20260421,20260422,20260428,60,0.85,0.7,60,0.009690563869615176
20260421,20260422,20260428,60,0.85,0.9,60,0.009690563869615176
20260421,20260422,20260428,60,0.85,1.0,60,0.009690563869615178
20260421,20260422,20260428,60,1.1,0.7,60,0.0069664373283167096
20260421,20260422,20260428,60,1.1,0.9,60,0.006966437328316712
20260421,20260422,20260428,60,1.1,1.0,60,0.0069664373283167096
