mode,alpha_lstm,risk_penalty,top_k,rank_power,confidence_power,mean_excess,min_excess,std_excess,sum_excess,mean_port,count,utility
legacy,0.95,0.05,40,1.6,3.0,0.02955619698587582,0.018942067426995758,0.009446475530019507,0.08866859095762746,0.032334421705754214,3,0.036663155998520984
legacy,0.9,0.3,40,1.35,2.0,0.02640416011838657,0.02349058121779323,0.0025322964952964075,0.07921248035515971,0.029182384838264963,3,0.03659507719209906
legacy,0.85,0.3,40,2.0,3.0,0.02851145631515654,0.020267981048903212,0.0071414982703686845,0.08553436894546962,0.03128968103503493,3,0.03656082304660769
legacy,0.9,0.1,40,1.6,3.0,0.02879182462297672,0.019859948507225708,0.007897272755361676,0.08637547386893016,0.031570049342855115,3,0.03654421053792404
legacy,0.95,0.1,40,1.35,2.5,0.028354705049486544,0.020446509153110817,0.006938352109827387,0.08506411514845963,0.031132929769364937,3,0.036514881351912304
legacy,0.95,0.2,40,2.0,2.5,0.028041750372006416,0.02095624819677533,0.0066047447093178155,0.08412525111601925,0.030819975091884808,3,0.036481350354157636
legacy,0.95,0.1,35,1.35,3.0,0.029441759817717156,0.0187129133141787,0.009614393872887378,0.08832527945315147,0.03221998453759555,3,0.036420411728164466
legacy,0.85,0.3,35,1.35,3.0,0.028392496318538643,0.020019578115279088,0.007262287673888011,0.08517748895561593,0.031170721038417035,3,0.03631196331933103
legacy,0.85,0.45,35,1.6,3.0,0.026737687749275898,0.0225074564659188,0.003808951494716167,0.08021306324782769,0.02951591246915429,3,0.03629470043473193
legacy,0.95,0.1,40,2.0,3.0,0.02903852293291757,0.018947815511139172,0.009297286647617486,0.08711556879875271,0.03181674765279596,3,0.03617044691578757
legacy,0.9,0.05,40,1.35,3.0,0.028619865903774105,0.019137908116672153,0.008249465580220909,0.08585959771132232,0.0313980906236525,3,0.03599450471924344
legacy,0.85,0.45,40,2.0,2.5,0.026253270280395313,0.0225673220545283,0.003203336039438795,0.07875981084118594,0.029031495000273706,3,0.03592806479901723
legacy,0.95,0.3,35,1.35,2.0,0.026590449332361887,0.02182442801531715,0.004242214874218819,0.07977134799708566,0.02936867405224028,3,0.03577510970812178
legacy,0.95,0.45,35,2.0,2.0,0.02540359706766553,0.023889804714925883,0.00256171242444819,0.07621079120299659,0.028181821787543925,3,0.03576975232571495
legacy,0.95,0.0,40,1.35,3.0,0.029160415803897183,0.017915106793450937,0.009803122964829705,0.08748124741169155,0.03193864052377558,3,0.03575174541622565
legacy,0.9,0.45,35,1.6,2.0,0.025552499671206857,0.023320950183286407,0.0022497635954853456,0.07665749901362057,0.02833072439108525,3,0.035709462714362934
legacy,0.95,0.2,40,1.35,2.0,0.026671783620254696,0.02135385388732325,0.004610562991378298,0.08001535086076408,0.029450008340133088,3,0.03558943342084341
legacy,0.85,0.2,40,1.6,3.0,0.02833471720292338,0.01882990191481068,0.008238068022530068,0.08500415160877013,0.03111294192280177,3,0.03557246286120867
legacy,0.85,0.45,35,1.35,2.5,0.026135939850262597,0.022072641500691,0.0035240994838303535,0.0784078195507878,0.028914164570140993,3,0.03554001360299899
legacy,0.85,0.3,40,1.6,2.5,0.027248850445150487,0.020412596396325693,0.005984336994921841,0.08174655133545146,0.03002707516502888,3,0.035536868274258775
legacy,0.9,0.3,40,1.6,2.0,0.026126652914419957,0.0220324454968195,0.003567234392703596,0.07837995874325987,0.02890487763429835,3,0.035506168229083195
legacy,0.95,0.3,40,2.0,2.0,0.026108362911264615,0.022010012154372503,0.00399141885435723,0.07832508873379385,0.028886587631143008,3,0.03541415555257866
legacy,0.95,0.1,40,1.6,2.5,0.027783273104671716,0.019197245246631377,0.007629369586152415,0.08334981931401515,0.030561497824550112,3,0.035277628027732974
