factor,direction,mean_excess,min_excess,max_excess,neg_windows,vals
residual_ret_20d_rank,high,-0.004927494303818737,-0.06494049109194105,0.030099631430432774,3,"-0.01835,-0.00992,0.03010,-0.06494,0.01397,0.01957"
market_corr_60d,high,-0.004959473873978017,-0.026829913872070253,0.009397959187333604,4,"0.00940,0.00264,-0.00862,-0.00249,-0.00384,-0.02683"
market_corr_60d_rank,high,-0.004959473873978017,-0.026829913872070253,0.009397959187333604,4,"0.00940,0.00264,-0.00862,-0.00249,-0.00384,-0.02683"
turnover_z_20d,low,-0.00500610894195823,-0.01482377411695042,0.005619469663142855,3,"-0.01482,0.00349,-0.01452,0.00473,-0.01453,0.00562"
turnover_z_20d_rank,low,-0.00500610894195823,-0.01482377411695042,0.005619469663142855,3,"-0.01482,0.00349,-0.01452,0.00473,-0.01453,0.00562"
trend_quality_20d,high,-0.005016841581045973,-0.06257294167890769,0.03620503460474984,3,"0.00310,-0.02032,0.03621,-0.06257,-0.00357,0.01706"
trend_quality_20d_rank,high,-0.005016841581045973,-0.06257294167890769,0.03620503460474984,3,"0.00310,-0.02032,0.03621,-0.06257,-0.00357,0.01706"
intraday_mean_5d,high,-0.0055778528437543965,-0.08323937690279609,0.036344508139347705,2,"0.00456,-0.00484,0.03634,-0.08324,0.00731,0.00640"
intraday_mean_5d_rank,high,-0.0055778528437543965,-0.08323937690279609,0.036344508139347705,2,"0.00456,-0.00484,0.03634,-0.08324,0.00731,0.00640"
turnover_trend_5_20,high,-0.005641272667263039,-0.07265325860836903,0.055092085540700865,4,"-0.01031,0.03490,0.05509,-0.07265,-0.01895,-0.02192"
turnover_trend_5_20_rank,high,-0.005641272667263039,-0.07265325860836903,0.055092085540700865,4,"-0.01031,0.03490,0.05509,-0.07265,-0.01895,-0.02192"
ret_30d,high,-0.005859215246126755,-0.045661388860131005,0.03453806995471619,3,"-0.02406,-0.01408,0.03454,-0.04566,0.00251,0.01159"
ret_30d_rank,high,-0.005859215246126755,-0.045661388860131005,0.03453806995471619,3,"-0.02406,-0.01408,0.03454,-0.04566,0.00251,0.01159"
